nameWithOwner,stargazerCount,releases,pushedAt,primaryLanguage,closedIssues,totalIssues
FuelLabs/sway,61495,189,2026-08-14T14:48:39Z,Rust,2437,3317
minio/minio,61384,521,2026-04-24T17:54:39Z,Go,7841,7885
2dust/v2rayNG,61372,308,2026-08-20T09:26:44Z,Kotlin,4061,4072
lodash/lodash,61289,4,2026-07-03T19:48:01Z,JavaScript,4308,4362
RVC-Boss/GPT-SoVITS,61089,4,2026-08-18T09:16:25Z,Python,1255,2045
pbakaus/impeccable,61074,45,2026-08-20T18:38:41Z,JavaScript,188,238
upstash/context7,61026,105,2026-08-20T10:12:45Z,TypeScript,2227,2247
Solido/awesome-flutter,60967,0,2026-04-21T19:06:09Z,Dart,0,0
ChrisTitusTech/winutil,60936,46,2026-08-19T22:25:17Z,PowerShell,2365,2378
tw93/Pake,60932,51,2026-08-15T14:51:04Z,Rust,568,568
1c7/chinese-independent-developer,60881,0,2026-08-20T06:14:32Z,Python,361,362
h5bp/Front-end-Developer-Interview-Questions,60873,0,2026-06-16T23:06:47Z,Nunjucks,143,185
xingshaocheng/architect-awesome,60840,0,2024-04-11T11:32:12Z,,23,71
coollabsio/coolify,60820,692,2026-08-20T20:29:31Z,PHP,3447,3980
ultralytics/ultralytics,60806,452,2026-08-20T23:49:24Z,Python,12851,12894
atom/atom,60779,538,2023-01-03T10:49:48Z,JavaScript,16149,17111
nuxt/nuxt,60769,291,2026-08-20T15:20:28Z,TypeScript,17120,17485
pocketbase/pocketbase,60745,284,2026-08-19T18:43:11Z,Go,2020,2039
microsoft/autogen,60545,98,2026-04-15T11:59:09Z,Python,2519,3077
pi-hole/pi-hole,60511,126,2026-08-04T11:14:35Z,Shell,3125,3147
marktext/marktext,60363,47,2026-07-27T03:16:54Z,TypeScript,2828,3452
adam-p/markdown-here,60249,17,2025-08-22T00:21:50Z,JavaScript,334,635
sharkdp/bat,60231,43,2026-08-11T14:39:20Z,Rust,1303,1629
byoungd/up,60215,0,2026-08-17T05:04:19Z,JavaScript,102,132
spring-projects/spring-framework,60205,365,2026-08-20T16:32:49Z,Java,27990,28353
CorentinJ/Real-Time-Voice-Cloning,60093,0,2026-03-09T10:31:58Z,Python,953,1122
ghostty-org/ghostty,59973,1,2026-08-20T23:31:17Z,Zig,2116,2256
jquery/jquery,59774,13,2026-08-20T15:09:49Z,JavaScript,2320,2393
shadowsocks/shadowsocks-windows,59570,55,2025-01-01T08:09:55Z,C#,2729,2918
meta-llama/llama,59568,0,2025-01-26T21:42:26Z,Python,654,1127
termux/termux-app,59502,95,2026-07-14T20:47:14Z,Java,2654,3152
starship/starship,59499,141,2026-08-17T16:16:09Z,Rust,1909,2711
FiloSottile/mkcert,59472,14,2024-08-13T13:37:46Z,Go,242,359
rclone/rclone,59282,131,2026-08-20T14:50:58Z,Go,5198,6177
meilisearch/meilisearch,59033,330,2026-08-14T09:38:01Z,Rust,2231,2474
pathwaycom/llm-app,59023,0,2026-07-05T17:59:07Z,Jupyter Notebook,15,20
penpot/penpot,58945,85,2026-08-20T22:35:23Z,Clojure,2477,3146
rust-unofficial/awesome-rust,58910,0,2026-08-20T08:15:22Z,Rust,143,150
mvanhorn/last30days-skill,58810,41,2026-08-20T07:31:53Z,Python,158,244
rails/rails,58699,168,2026-08-20T20:33:05Z,Ruby,18167,18657
tiimgreen/github-cheat-sheet,58637,0,2024-04-15T20:15:56Z,,49,77
pmndrs/zustand,58589,105,2026-08-19T13:05:32Z,TypeScript,695,697
angular/angular.js,58535,0,2024-04-12T17:43:16Z,JavaScript,8644,9033
MemPalace/mempalace,58504,15,2026-08-20T16:56:35Z,Python,465,791
FoundationAgents/OpenManus,58029,3,2026-08-16T10:36:18Z,Python,473,754
ultralytics/yolov5,57909,10,2026-08-20T22:29:40Z,Python,9413,9443
h5bp/html5-boilerplate,57599,34,2026-08-20T23:26:16Z,JavaScript,1359,1366
scutan90/DeepLearning-500-questions,57544,0,2024-06-26T12:10:14Z,JavaScript,81,192
go-gitea/gitea,57524,235,2026-08-20T23:06:45Z,Go,13617,15966
deepfakes/faceswap,57468,5,2026-08-05T11:39:37Z,Python,899,909
zylon-ai/private-gpt,57448,14,2026-08-20T14:21:26Z,Python,1240,1241
crewAIInc/crewAI,57395,231,2026-08-20T23:41:30Z,Python,2011,2126
karpathy/nanochat,57357,0,2026-08-02T21:05:23Z,Python,117,139
wasabeef/awesome-android-ui,57261,0,2026-06-05T05:39:52Z,,95,117
Textualize/rich,57100,177,2026-06-23T03:10:19Z,Python,1289,1526
appwrite/appwrite,57064,132,2026-08-20T17:13:11Z,TypeScript,3950,4471
remotion-dev/remotion,56925,673,2026-08-20T17:41:50Z,TypeScript,3540,3716
FuelLabs/fuel-core,56898,130,2026-08-20T21:56:36Z,Rust,999,1161
soimort/you-get,56873,123,2026-07-25T08:02:33Z,Python,0,0
BerriAI/litellm,56861,1000,2026-08-20T23:58:40Z,Python,10548,12232
ageitgey/face_recognition,56672,2,2026-06-25T11:12:50Z,Python,604,1379
remix-run/react-router,56562,344,2026-08-20T20:32:19Z,TypeScript,8294,8392
makeplane/plane,56480,63,2026-08-20T12:41:51Z,TypeScript,1116,1914
golang-standards/project-layout,56478,0,2026-04-28T17:18:05Z,Makefile,44,116
usestrix/strix,56198,26,2026-08-20T23:27:05Z,Python,191,320
Zie619/n8n-workflows,56159,1,2026-06-24T14:16:03Z,Python,80,105
laurent22/joplin,56030,418,2026-08-20T19:26:29Z,TypeScript,7633,8242
jellyfin/jellyfin,55996,112,2026-08-20T23:13:25Z,C#,8314,8692
gatsbyjs/gatsby,55943,158,2026-08-20T20:50:14Z,JavaScript,13910,14128
Raphire/Win11Debloat,55782,37,2026-08-16T20:49:09Z,PowerShell,356,388
azl397985856/leetcode,55758,40,2025-07-16T09:42:17Z,JavaScript,248,258
firstcontributions/first-contributions,55585,0,2026-08-20T21:36:33Z,,1497,1514
typst/typst,55548,30,2026-08-17T13:16:08Z,Rust,3282,4496
FlowiseAI/Flowise,55384,85,2026-08-13T12:38:19Z,TypeScript,1973,2673
twentyhq/twenty,55206,102,2026-08-20T22:16:44Z,TypeScript,6733,6848
AntonOsika/gpt-engineer,55130,21,2025-05-14T10:15:10Z,Python,471,503
PowerShell/PowerShell,55021,214,2026-08-20T23:21:01Z,C#,12270,13557
romkatv/powerlevel10k,54947,33,2026-08-15T09:23:06Z,Shell,2492,2620
ngosang/trackerslist,54920,0,2026-08-20T22:09:50Z,,528,539
jingyaogong/minimind,54884,2,2026-08-06T14:08:38Z,Python,608,634
TryGhost/Ghost,54827,1000,2026-08-20T23:36:38Z,JavaScript,7299,7328
facebookresearch/segment-anything,54731,0,2024-09-18T17:46:55Z,Jupyter Notebook,182,718
WerWolv/ImHex,54523,82,2026-08-20T20:59:39Z,C++,1292,1647
wagoodman/dive,54481,28,2025-12-15T17:20:36Z,Go,206,375
lencx/ChatGPT,54448,34,2024-08-29T17:58:11Z,Rust,373,1280
maybe-finance/maybe,54321,28,2025-07-24T22:20:44Z,Ruby,0,0
psf/requests,54243,19,2026-08-17T19:03:16Z,Python,4026,4173
vuejs/core,54221,292,2026-08-20T08:59:08Z,TypeScript,5526,6085
agalwood/Motrix,54158,29,2026-08-20T23:40:36Z,TypeScript,611,1383
ElemeFE/element,54057,145,2024-08-20T07:40:13Z,Vue,15246,17891
odoo/odoo,53825,0,2026-08-20T23:52:01Z,Python,15363,19127
google/material-design-icons,53789,16,2026-08-14T03:02:13Z,,1186,1596
mozilla/pdf.js,53760,88,2026-08-20T20:22:38Z,JavaScript,10199,10565
necolas/normalize.css,53519,0,2024-06-12T20:36:06Z,CSS,471,518
freqtrade/freqtrade,53473,116,2026-08-20T18:51:41Z,Python,5631,5654
JetBrains/kotlin,53356,300,2026-08-20T23:31:48Z,Kotlin,0,0
chinese-poetry/chinese-poetry,53195,1,2026-06-17T01:56:08Z,JavaScript,92,218
vsouza/awesome-ios,53116,0,2026-06-24T14:58:10Z,Swift,494,500
aaif-goose/goose,53066,146,2026-08-20T23:54:42Z,Rust,2644,2808
ggml-org/whisper.cpp,53061,40,2026-08-20T13:59:55Z,C++,895,1963
microsoft/VibeVoice,53017,0,2026-07-24T09:24:29Z,Python,118,243
lyswhut/lx-music-desktop,52928,113,2026-08-04T16:14:05Z,TypeScript,1306,2529
dockur/windows,52917,126,2026-08-20T23:10:08Z,Shell,1017,1035
sickcodes/Docker-OSX,52867,0,2025-11-11T05:23:57Z,Shell,289,686
hesreallyhim/awesome-claude-code,52721,0,2026-08-20T21:08:26Z,Python,1138,2031
ionic-team/ionic-framework,52621,950,2026-08-20T23:53:27Z,TypeScript,21630,22198
jesseduffield/lazydocker,52560,47,2026-04-19T02:51:06Z,Go,216,413
lllyasviel/Fooocus,52448,21,2025-12-01T19:17:07Z,Python,1421,1668
prettier/prettier,52207,144,2026-08-20T13:03:37Z,JavaScript,6163,7326
xai-org/grok-1,52159,0,2024-08-30T04:17:25Z,Python,0,0
etcd-io/etcd,52139,292,2026-08-20T17:37:09Z,Go,7132,7248
bmad-code-org/BMAD-METHOD,52117,39,2026-08-20T13:46:24Z,JavaScript,975,1078
VoltAgent/awesome-openclaw-skills,52088,0,2026-08-20T07:44:35Z,,84,84
diegosouzapw/OmniRoute,51973,279,2026-08-20T23:42:57Z,TypeScript,3331,3604
anthropics/claude-cookbooks,51921,0,2026-08-19T20:42:54Z,Jupyter Notebook,138,213
google/guava,51887,60,2026-08-20T16:28:35Z,Java,3051,3669
dkhamsing/open-source-ios-apps,51782,37,2026-08-20T14:42:39Z,,357,357
run-llama/llama_index,51773,433,2026-08-20T15:46:41Z,Python,7079,7255
expo/expo,51718,0,2026-08-20T22:59:05Z,TypeScript,19002,19292
Avik-Jain/100-Days-Of-ML-Code,51661,0,2023-12-29T07:57:53Z,,0,0
jekyll/jekyll,51640,112,2026-08-03T17:55:37Z,Ruby,4809,4939
dbeaver/dbeaver,51487,254,2026-08-20T20:32:20Z,Java,17286,20514
poteto/hiring-without-whiteboards,51435,0,2026-06-06T02:10:59Z,JavaScript,0,0
charlax/professional-programming,51434,0,2026-07-15T15:55:09Z,Python,32,33
DefinitelyTyped/DefinitelyTyped,51381,1,2026-08-20T21:53:11Z,TypeScript,7561,8118
ethereum/go-ethereum,51299,232,2026-08-20T08:58:15Z,Go,8520,8717
justjavac/wechat-miniapp-radar,51182,0,2026-08-07T01:04:58Z,TypeScript,35,35
Semantic-Org/Semantic-UI,51027,154,2024-11-27T21:01:48Z,JavaScript,5269,6233
cypress-io/cypress,50978,402,2026-08-20T23:42:20Z,TypeScript,14552,15573
jamiepine/voicebox,50967,25,2026-08-09T00:03:42Z,TypeScript,191,682
CherryHQ/cherry-studio,50843,277,2026-08-20T22:27:51Z,TypeScript,10301,11209
bannedbook/fanqiang,50423,3,2026-08-20T07:14:55Z,Kotlin,502,836
nlohmann/json,50414,45,2026-08-20T23:41:15Z,C++,2374,2409
mastodon/mastodon,50234,361,2026-08-20T19:58:51Z,Ruby,8780,13104
TanStack/query,50174,1000,2026-08-20T17:08:06Z,TypeScript,2291,2348
skylot/jadx,50144,35,2026-08-19T18:52:12Z,Java,1690,2119
serhii-londar/open-source-mac-os-apps,50102,0,2026-08-20T20:45:48Z,,211,234
AlistGo/alist,50067,149,2026-08-05T08:04:29Z,Go,3974,4496
jgthms/bulma,50051,22,2026-03-01T20:13:02Z,CSS,2404,2753
stablyai/orca,50007,933,2026-08-21T00:00:32Z,TypeScript,1970,3990
chenglou/pretext,49948,0,2026-06-23T05:01:09Z,TypeScript,50,96
tldraw/tldraw,49881,134,2026-08-20T17:52:41Z,TypeScript,2294,2713
Lordog/dive-into-llms,49832,1,2025-10-10T06:25:48Z,Jupyter Notebook,17,26
huginn/huginn,49825,1,2026-08-15T05:06:36Z,Ruby,1580,2193
NARKOZ/hacker-scripts,49801,0,2023-10-23T21:01:40Z,JavaScript,68,106
jakevdp/PythonDataScienceHandbook,49654,0,2024-06-26T19:17:33Z,Jupyter Notebook,84,210
roboflow/supervision,49591,40,2026-08-20T11:58:54Z,Python,505,544
pandas-dev/pandas,49527,122,2026-08-20T21:50:39Z,Python,25874,28481
kelseyhightower/kubernetes-the-hard-way,49517,0,2025-04-10T06:11:47Z,,416,441
hashicorp/terraform,49495,437,2026-08-20T18:37:49Z,Go,19992,21747
ChromeDevTools/chrome-devtools-mcp,49494,58,2026-08-20T18:29:16Z,TypeScript,434,507
chen08209/FlClash,49397,106,2026-08-20T02:58:24Z,Dart,1514,2033
ClickHouse/ClickHouse,49368,830,2026-08-20T23:45:47Z,C++,25455,30435
astral-sh/ruff,49271,424,2026-08-20T23:49:12Z,Rust,6554,8249
Homebrew/brew,49222,509,2026-08-20T21:03:38Z,Ruby,5277,5277
x64dbg/x64dbg,49206,6,2026-08-15T11:35:51Z,C++,2150,2722
GokuMohandas/Made-With-ML,49170,1,2026-03-04T23:44:21Z,Jupyter Notebook,59,77
apple/container,49155,20,2026-08-20T22:41:02Z,Swift,572,868
calesthio/OpenMontage,49111,0,2026-08-18T15:50:54Z,Python,49,129
JuliaLang/julia,49022,203,2026-08-20T22:42:40Z,Julia,22517,26136
bigskysoftware/htmx,48986,32,2026-08-20T23:41:56Z,JavaScript,1123,1740
metabase/metabase,48854,822,2026-08-21T00:00:07Z,Clojure,21970,25717
akullpp/awesome-java,48800,0,2026-08-19T18:23:37Z,,145,145
tmux/tmux,48749,44,2026-08-20T12:57:30Z,C,4129,4144
algorithm-visualizer/algorithm-visualizer,48682,0,2024-06-09T06:54:22Z,JavaScript,77,126
iamkun/dayjs,48665,129,2026-08-18T04:15:17Z,JavaScript,880,1848
upscayl/upscayl,48646,29,2026-08-20T01:28:53Z,TypeScript,1025,1079
DovAmir/awesome-design-patterns,48633,0,2024-10-25T19:57:00Z,,6,17
mudler/LocalAI,48601,136,2026-08-20T20:59:48Z,Go,1512,1611
KRTirtho/spotube,48545,44,2026-08-16T09:07:33Z,Dart,1309,2118
nilbuild/design-patterns-for-humans,48463,0,2024-12-02T04:54:48Z,,47,52
type-challenges/type-challenges,48453,0,2026-05-16T14:20:30Z,TypeScript,4092,37285
Aider-AI/aider,48359,93,2026-05-22T14:02:20Z,Python,3018,4360
brillout/awesome-react-components,48238,0,2026-01-26T16:36:45Z,,45,61
hugohe3/ppt-master,48234,22,2026-08-20T15:02:22Z,Python,119,124
ReactiveX/RxJava,48205,267,2026-08-20T08:46:10Z,Java,3275,3285
slidevjs/slidev,48167,430,2026-08-19T06:22:42Z,TypeScript,1195,1379
moeru-ai/airi,48157,81,2026-08-20T21:32:23Z,TypeScript,451,538
router-for-me/CLIProxyAPI,48094,818,2026-08-20T20:16:16Z,Go,2516,2587
pixijs/pixijs,48039,309,2026-08-20T18:16:47Z,TypeScript,5843,6134
moment/moment,47914,1,2026-08-20T21:23:36Z,JavaScript,4009,4165
HKUDS/CLI-Anything,47886,3,2026-08-13T04:30:15Z,Python,77,129
karan/Projects,47884,0,2024-08-14T19:06:05Z,,39,98
calcom/cal.diy,47836,611,2026-08-08T17:13:42Z,TypeScript,8270,9389
microsoft/qlib,47795,23,2026-07-23T08:15:29Z,Python,769,1071
lukasz-madon/awesome-remote-job,47767,0,2026-08-16T19:35:44Z,,75,95
gogs/gogs,47747,98,2026-08-06T12:32:28Z,Go,4269,5209
bevyengine/bevy,47722,58,2026-08-20T23:45:42Z,Rust,5809,8641
minimaxir/big-list-of-naughty-strings,47708,0,2024-04-18T03:26:59Z,Python,32,101
discourse/discourse,47686,1,2026-08-20T22:46:00Z,Ruby,0,0
prisma/prisma,47575,254,2026-08-20T17:31:02Z,TypeScript,9559,12020
oobabooga/textgen,47554,113,2026-08-17T17:38:16Z,Python,3397,4198
GitHubDaily/GitHubDaily,47517,0,2025-12-31T18:59:20Z,,196,967
acmesh-official/acme.sh,47499,48,2026-08-20T00:40:55Z,Shell,3666,3704
jeecgboot/JeecgBoot,47420,65,2026-08-20T11:23:57Z,Java,8478,8495
coreybutler/nvm-windows,47407,23,2026-04-17T17:58:18Z,Go,910,969
dypsilon/frontend-dev-bookmarks,47403,1,2024-05-21T10:56:58Z,,82,117
rohitg00/ai-engineering-from-scratch,47368,2,2026-08-10T07:05:52Z,Python,41,74
slab/quill,47307,95,2025-07-25T06:09:23Z,TypeScript,3270,3848
HKUDS/nanobot,47231,19,2026-08-20T19:10:54Z,Python,1256,1455
typescript-cheatsheets/react,47097,0,2026-05-29T19:52:44Z,TypeScript,225,225
multica-ai/multica,47074,143,2026-08-20T18:14:24Z,Go,1469,2232
elder-plinius/CL4R1T4S,47067,0,2026-08-15T02:33:56Z,,8,79
lysine-dev/okhttp,47050,0,2026-08-20T21:12:29Z,Kotlin,4213,4302
gedoor/legado,47018,0,2026-05-27T08:41:54Z,Kotlin,0,0
KeygraphHQ/shannon,46969,19,2026-08-20T18:47:32Z,TypeScript,124,139
v2ray/v2ray-core,46933,247,2026-07-13T03:22:29Z,Go,2597,2600
serverless/serverless,46917,494,2026-08-20T16:14:13Z,JavaScript,5525,6634
kepano/obsidian-skills,46915,0,2026-06-08T16:12:01Z,,20,46
exo-explore/exo,46903,16,2026-06-23T18:59:18Z,Python,740,931
Asabeneh/30-Days-Of-JavaScript,46722,0,2025-12-06T11:12:48Z,JavaScript,62,180
hiroi-sora/Umi-OCR,46700,31,2025-11-20T14:58:13Z,Python,518,870
SimplifyJobs/Summer2027-Internships,46623,0,2026-08-21T00:01:04Z,Python,7562,7659
zhayujie/CowAgent,46603,80,2026-08-20T14:42:32Z,Python,2174,2194
microsoft/monaco-editor,46563,189,2026-08-18T18:33:20Z,JavaScript,3244,4015
apache/airflow,46561,126,2026-08-20T23:48:10Z,Python,13930,15034
usebruno/bruno,46436,172,2026-08-20T14:57:43Z,JavaScript,3083,4384
LeCoupa/awesome-cheatsheets,46383,0,2026-04-12T17:26:10Z,JavaScript,61,102
9001/copyparty,46319,346,2026-08-17T22:17:30Z,Python,783,1002
Alishahryar1/free-claude-code,46318,0,2026-08-20T23:14:06Z,Python,496,731
docker/awesome-compose,46135,0,2026-08-15T19:45:19Z,HTML,47,152
ziishaned/learn-regex,46080,0,2025-08-25T23:17:54Z,,36,87
iina/iina,46031,51,2026-08-20T18:30:50Z,Swift,2682,4497
RocketChat/Rocket.Chat,46011,1000,2026-08-20T21:43:28Z,TypeScript,14616,17111
jgm/pandoc,45958,158,2026-08-20T21:54:40Z,Haskell,7367,8340
coqui-ai/TTS,45922,98,2024-08-16T12:07:14Z,Python,1240,1242
cli/cli,45910,201,2026-08-20T23:26:49Z,Go,5318,6327
siyuan-note/siyuan,45906,945,2026-08-20T16:47:57Z,TypeScript,17540,17602
helix-editor/helix,45897,30,2026-08-18T23:23:16Z,Rust,4853,5941
DavidHDev/react-bits,45891,0,2026-08-15T05:27:08Z,JavaScript,524,526
DIYgod/RSSHub,45820,0,2026-08-20T14:35:19Z,TypeScript,6098,6413
zhongyang219/TrafficMonitor,45801,27,2026-08-19T03:31:54Z,C++,741,2069
android/architecture-samples,45795,0,2026-08-12T23:40:24Z,Kotlin,350,497
QuantumNous/new-api,45745,512,2026-08-19T08:30:13Z,Go,2628,3346
milvus-io/milvus,45715,170,2026-08-20T22:26:52Z,Go,15710,16665
karanpratapsingh/system-design,45677,0,2026-07-08T00:36:51Z,,21,24
google/zx,45675,100,2026-08-14T07:30:27Z,JavaScript,500,521
abhigyanpatwari/GitNexus,45626,0,2026-08-19T20:19:05Z,TypeScript,898,1169
streamlit/streamlit,45577,0,2026-08-21T00:01:20Z,Python,5066,6043
ColorlibHQ/AdminLTE,45546,0,2026-08-20T07:40:52Z,Astro,2933,2933
Leaflet/Leaflet,45498,0,2026-08-17T12:53:01Z,JavaScript,4963,5363
jestjs/jest,45468,0,2026-08-20T08:12:47Z,TypeScript,8078,8217
isocpp/CppCoreGuidelines,45257,0,2026-08-06T15:54:13Z,CSS,1000,1237
grpc/grpc,45231,0,2026-08-20T22:57:37Z,C++,11355,12019
sickn33/agentic-awesome-skills,45193,0,2026-08-20T18:24:50Z,Python,162,162
coreyhaines31/marketingskills,45077,0,2026-08-19T18:16:52Z,JavaScript,132,172
GitSquared/edex-ui,45048,0,2021-10-19T22:38:47Z,JavaScript,553,559
pyenv/pyenv,45037,0,2026-08-16T22:51:28Z,Shell,1856,1908
MHSanaei/3x-ui,45007,0,2026-08-20T21:14:22Z,Go,4157,4263
fastapi/full-stack-fastapi-template,44989,0,2026-08-17T08:38:42Z,TypeScript,441,441
react-hook-form/react-hook-form,44823,0,2026-08-20T00:24:46Z,TypeScript,5001,5002
meteor/meteor,44809,0,2026-08-20T22:21:02Z,JavaScript,9114,9331
DataTalksClub/data-engineering-zoomcamp,44780,0,2026-08-20T12:07:40Z,Jupyter Notebook,146,146
mitmproxy/mitmproxy,44753,0,2026-08-20T23:12:02Z,Python,3320,3691
sudheerj/reactjs-interview-questions,44738,0,2026-08-20T05:50:04Z,JavaScript,110,113
vercel/hyper,44698,0,2026-06-29T11:03:02Z,TypeScript,2882,3826
files-community/Files,44689,141,2026-08-20T23:42:17Z,C#,10908,11350
vnpy/vnpy,44643,67,2026-08-10T01:07:58Z,Python,2171,2187
getsentry/sentry,44584,176,2026-08-20T23:59:59Z,Python,15479,17255
logseq/logseq,44534,153,2026-08-20T16:55:30Z,Clojure,7349,8217
spf13/cobra,44478,27,2026-07-11T00:43:07Z,Go,1001,1255
charmbracelet/bubbletea,44466,80,2026-08-19T15:32:03Z,Go,337,443
paperless-ngx/paperless-ngx,44447,156,2026-08-20T17:19:49Z,Python,2648,2649
NaiboWang/EasySpider,44378,11,2026-08-19T13:19:51Z,JavaScript,497,766
AykutSarac/jsoncrack.com,44310,23,2026-08-18T17:35:36Z,TypeScript,260,289
payloadcms/payload,44291,574,2026-08-20T23:19:27Z,TypeScript,4332,4749
sharkdp/fd,44151,44,2026-08-11T17:42:55Z,Rust,854,983
janhq/jan,44078,104,2026-08-20T13:30:14Z,TypeScript,3424,3796
parcel-bundler/parcel,44020,52,2026-08-20T04:39:55Z,JavaScript,5080,5539
streamich/react-use,44018,257,2026-06-10T18:51:23Z,TypeScript,247,614
Kong/kong,44009,147,2026-08-16T14:44:43Z,Lua,4537,4614
zen-browser/desktop,44002,186,2026-08-20T23:24:26Z,JavaScript,9113,9688
yangshun/front-end-interview-handbook,43989,0,2026-08-13T08:25:31Z,JavaScript,92,103
babel/babel,43986,468,2026-08-16T08:21:06Z,TypeScript,8519,9113
lysine-dev/retrofit,43935,4,2026-08-20T17:41:05Z,Java,2645,2774
astaxie/build-web-application-with-golang,43902,0,2024-05-12T00:47:46Z,Go,182,306
apache/spark,43845,0,2026-08-20T23:54:18Z,Scala,58,98
DataExpert-io/data-engineer-handbook,43801,0,2026-08-03T20:29:57Z,Jupyter Notebook,82,107
aymericdamien/TensorFlow-Examples,43736,0,2024-07-26T19:46:13Z,Jupyter Notebook,71,239
ccxt/ccxt,43678,248,2026-08-20T13:57:54Z,Python,11314,11544
ray-project/ray,43570,128,2026-08-20T23:20:40Z,Python,20093,22968
juspay/hyperswitch,43526,158,2026-08-20T22:26:04Z,Rust,2853,4192
colinhacks/zod,43498,205,2026-08-20T16:45:34Z,TypeScript,3096,3152
danielmiessler/Fabric,43487,423,2026-08-09T20:55:42Z,Go,829,859
gradio-app/gradio,43393,1000,2026-08-20T22:26:42Z,Python,6557,6716
Light-City/CPlusPlusThings,43367,0,2026-05-16T06:05:14Z,C++,223,231
ziglang/zig,43314,21,2025-11-27T01:42:59Z,Zig,10800,13522
alex/what-happens-when,43295,0,2024-08-19T13:02:25Z,,54,300
Unitech/pm2,43268,138,2026-07-02T10:09:15Z,JavaScript,4128,5147
Imbad0202/academic-research-skills,43162,40,2026-08-20T05:26:10Z,Python,297,316
HeyPuter/puter,43127,22,2026-08-20T23:59:27Z,TypeScript,1218,1225
zbezj/HEU_KMS_Activator,43116,54,2026-07-06T04:01:22Z,,32,205
mifi/lossless-cut,43073,106,2026-08-19T19:07:48Z,TypeScript,1641,1923
FuelLabs/fuels-rs,43062,121,2026-06-29T14:14:40Z,Rust,613,663
juanfont/headscale,43035,140,2026-07-30T10:20:13Z,Go,1254,1340
FuelLabs/fuels-ts,43024,156,2026-03-27T18:21:29Z,TypeScript,1400,1457
deepspeedai/DeepSpeed,42971,115,2026-08-20T17:07:55Z,Python,2202,3369
faif/python-patterns,42937,0,2026-08-20T09:10:58Z,Python,88,97
curl/curl,42655,97,2026-08-20T22:16:45Z,C,5546,5551
k88hudson/git-flight-rules,42595,0,2026-07-23T20:48:50Z,,59,73
mingrammer/diagrams,42529,46,2026-08-16T12:09:29Z,Python,231,546
apachecn/ailearning,42468,2,2024-11-12T16:21:55Z,Python,114,118
Alamofire/Alamofire,42417,106,2026-08-03T01:00:57Z,Swift,2788,2819
danny-avila/LibreChat,42286,94,2026-08-20T23:57:00Z,TypeScript,4528,4896
imputnet/cobalt,42160,0,2026-04-06T11:59:56Z,Svelte,805,1031
saadeghi/daisyui,42153,229,2026-08-20T22:49:51Z,JavaScript,2187,2201
666ghj/BettaFish,42052,6,2026-08-17T05:07:11Z,Python,441,442
fastlane/fastlane,42007,568,2026-08-18T00:55:28Z,Ruby,12786,13304
LC044/WeChatMsg,41975,0,2025-12-30T13:31:16Z,,0,0
nolimits4web/swiper,41885,103,2026-08-06T16:44:44Z,TypeScript,5592,5831
heygen-com/hyperframes,41838,355,2026-08-20T23:56:29Z,TypeScript,251,294
psf/black,41814,55,2026-08-20T13:01:16Z,Python,2554,2820
agno-agi/agno,41805,232,2026-08-21T00:00:43Z,Python,2132,2764
hexojs/hexo,41771,118,2026-08-12T18:42:36Z,TypeScript,3955,4001
aria2/aria2,41766,24,2026-06-25T14:49:35Z,C++,829,1926
freefq/free,41766,0,2024-08-20T09:43:55Z,,294,894
dylanaraps/pure-bash-bible,41718,0,2023-11-28T03:26:23Z,Shell,33,77
chubin/cheat.sh,41663,0,2025-12-23T18:48:24Z,Python,139,273
dcloudio/uni-app,41597,0,2026-08-20T13:59:17Z,JavaScript,4410,5099
apache/dubbo,41557,114,2026-08-13T18:29:17Z,Java,6590,7424
sxyazi/yazi,41534,32,2026-08-19T19:40:01Z,Rust,1903,1954
chatboxai/chatbox,41495,60,2026-08-14T14:13:27Z,TypeScript,1539,2689
tabler/tabler,41490,51,2026-08-20T23:46:16Z,Astro,1168,1221
yarnpkg/yarn,41486,153,2026-05-12T11:09:42Z,JavaScript,4755,6624
hpcaitech/ColossalAI,41437,50,2026-08-17T17:57:12Z,Python,1297,1741
exelban/stats,41328,348,2026-08-19T18:31:47Z,Swift,2906,2931
amruthpillai/reactive-resume,41310,136,2026-08-20T08:56:18Z,TypeScript,2051,2154
nwjs/nw.js,41162,0,2026-08-19T04:08:07Z,JavaScript,6567,7456
XTLS/Xray-core,41133,119,2026-08-20T10:05:45Z,Go,3069,3101
luongnv89/claude-howto,41127,10,2026-08-19T08:58:30Z,Python,30,45
styled-components/styled-components,41119,239,2026-08-17T17:53:56Z,TypeScript,2998,3009
gkd-kit/gkd,41040,75,2026-08-18T14:17:25Z,Kotlin,784,796
vercel-labs/agent-browser,41035,102,2026-08-20T21:07:59Z,Rust,245,576
vuetifyjs/vuetify,41029,675,2026-08-19T18:29:49Z,TypeScript,15158,15441
bailicangdu/vue2-elm,41026,0,2025-04-11T12:52:02Z,Vue,512,631
zai-org/ChatGLM-6B,40986,0,2024-06-27T04:05:25Z,Python,750,1316
goabstract/Awesome-Design-Tools,40938,0,2024-07-28T19:57:31Z,JavaScript,26,54
QSCTech/zju-icicles,40880,0,2026-01-20T11:01:02Z,HTML,69,78
Hmbown/CodeWhale,40832,134,2026-08-20T16:23:44Z,Rust,2376,2499
