nameWithOwner,stargazerCount,createdAt,pullRequests,releases,pushedAt,primaryLanguage,closedIssues,totalIssues
microsoft/ML-For-Beginners,89628,2021-03-03T01:34:05Z,496,0,2026-08-20T01:11:33Z,Jupyter Notebook,163,166
vllm-project/vllm,89564,2023-02-09T11:23:20Z,20172,103,2026-08-20T23:20:28Z,Python,15278,17455
gohugoio/hugo,89468,2013-07-04T15:26:26Z,3487,381,2026-08-20T19:56:40Z,Go,8000,8209
gin-gonic/gin,89087,2014-06-16T23:57:25Z,1248,29,2026-08-15T05:44:19Z,Go,1797,2401
zed-industries/zed,88960,2021-02-20T03:01:06Z,26479,1000,2026-08-20T22:13:04Z,Rust,20050,22559
infiniflow/ragflow,88930,2023-12-12T06:13:13Z,8550,53,2026-08-20T14:42:56Z,Go,6350,7641
astral-sh/uv,88921,2023-10-02T20:24:11Z,10153,303,2026-08-21T00:08:49Z,Rust,6873,9233
localsend/localsend,88823,2022-12-16T00:46:07Z,732,26,2026-08-19T01:45:43Z,Dart,800,1790
addyosmani/agent-skills,88817,2026-02-15T20:20:26Z,133,9,2026-08-14T18:51:33Z,JavaScript,82,138
ChatGPTNextWeb/NextChat,88633,2023-03-10T18:27:54Z,912,77,2026-08-11T02:07:25Z,TypeScript,2906,3611
MunGell/awesome-for-beginners,88563,2015-10-24T19:53:36Z,484,0,2026-07-25T07:00:20Z,,194,214
django/django,88509,2012-04-28T02:47:18Z,10691,0,2026-08-19T18:28:47Z,Python,0,0
PaddlePaddle/PaddleOCR,88007,2020-05-08T10:38:16Z,3199,33,2026-07-22T11:59:34Z,Python,10561,10721
sveltejs/svelte,87981,2016-11-20T18:13:05Z,6812,636,2026-08-20T21:56:23Z,JavaScript,8223,9177
syncthing/syncthing,87829,2013-11-26T09:48:21Z,2931,479,2026-08-20T09:09:35Z,Go,5604,5962
ByteByteGoHq/system-design-101,87363,2023-09-18T20:52:03Z,23,0,2025-04-04T17:30:30Z,,20,64
odysseus-dev/odysseus,85818,2026-05-31T14:05:51Z,1434,0,2026-08-20T17:39:01Z,Python,1109,2087
OpenCut-app/OpenCut,85326,2025-06-22T08:02:17Z,192,3,2026-08-10T16:38:36Z,TypeScript,98,366
laravel/laravel,84831,2011-06-08T03:06:08Z,1710,227,2026-08-18T13:45:25Z,Blade,0,0
OpenHands/OpenHands,84625,2024-03-13T03:33:31Z,7514,133,2026-08-20T23:30:10Z,TypeScript,4253,4553
macrozheng/mall,84586,2018-04-04T01:11:44Z,1,3,2026-05-14T08:32:05Z,Java,494,506
bregman-arie/devops-exercises,84182,2019-10-03T17:31:21Z,309,0,2025-12-27T14:22:30Z,Python,71,108
DopplerHQ/awesome-interview-questions,84134,2015-11-28T09:48:17Z,175,0,2024-07-29T14:21:23Z,,34,61
realworld-apps/realworld,84115,2016-02-26T20:49:53Z,435,0,2026-08-13T21:19:04Z,TypeScript,523,549
koala73/worldmonitor,83491,2026-01-08T17:26:06Z,4660,43,2026-08-20T21:40:59Z,TypeScript,1397,1646
Developer-Y/cs-video-courses,83136,2016-10-21T17:02:11Z,283,0,2026-07-07T17:42:10Z,,0,0
animate-css/animate.css,82741,2011-10-12T10:07:38Z,315,22,2024-07-29T19:34:21Z,CSS,843,886
junegunn/fzf,82600,2013-10-23T16:04:23Z,687,84,2026-08-20T15:15:46Z,Go,2939,3205
fighting41love/funNLP,82569,2018-08-21T11:20:39Z,14,0,2024-05-10T07:38:24Z,Python,48,92
vitejs/vite,82429,2020-04-21T05:03:57Z,6611,714,2026-08-20T07:06:40Z,TypeScript,8299,8797
tonsky/FiraCode,81938,2014-11-11T19:32:38Z,145,29,2026-07-28T17:02:16Z,Clojure,965,1387
mlabonne/llm-course,81882,2023-06-17T22:16:25Z,2,0,2026-02-05T13:09:26Z,,33,99
lobehub/lobehub,81862,2023-05-21T07:19:12Z,7919,1000,2026-08-20T22:27:38Z,TypeScript,6102,6400
jesseduffield/lazygit,81507,2018-05-19T00:53:06Z,2046,186,2026-08-20T19:58:53Z,Go,1846,2701
spring-projects/spring-boot,81326,2012-10-19T15:02:57Z,200,354,2026-08-20T22:32:32Z,Java,42467,42945
bytedance/deer-flow,80422,2025-05-07T02:50:19Z,1777,1,2026-08-20T00:57:10Z,Python,1352,1875
TapXWorld/ChinaTextbook,80407,2020-01-05T04:11:06Z,1,0,2025-10-18T13:39:24Z,Roff,80,191
netdata/netdata,80244,2013-06-17T18:39:10Z,12937,138,2026-08-21T00:12:07Z,Go,8118,8308
swisskyrepo/PayloadsAllTheThings,80211,2016-10-18T07:29:07Z,570,5,2026-08-09T13:38:47Z,Python,0,0
hoppscotch/hoppscotch,80063,2019-08-21T13:15:24Z,2141,107,2026-08-20T16:38:46Z,TypeScript,1938,2505
Egonex-AI/Understand-Anything,79933,2026-03-15T02:30:51Z,123,8,2026-08-11T14:13:37Z,TypeScript,135,243
d2l-ai/d2l-zh,79829,2017-08-23T04:40:24Z,1019,16,2024-07-30T09:32:19Z,Python,0,0
anuraghazra/github-readme-stats,79828,2020-07-09T10:34:22Z,1569,0,2026-07-31T00:50:25Z,JavaScript,1228,1396
doocs/advanced-java,79074,2018-10-06T11:38:30Z,94,1,2026-06-25T02:21:18Z,Java,149,149
Z4nzu/hackingtool,79046,2020-04-11T09:21:31Z,59,0,2026-08-02T16:54:01Z,Python,406,524
paperclipai/paperclip,79007,2026-03-02T15:01:51Z,1810,20,2026-08-21T00:13:32Z,TypeScript,792,2890
coder/code-server,78980,2019-02-27T16:50:41Z,1763,253,2026-08-20T21:45:26Z,TypeScript,3723,3866
ventoy/Ventoy,78849,2020-03-10T15:19:19Z,302,115,2026-08-06T04:51:23Z,C,1935,2832
unclecode/crawl4ai,78787,2024-05-09T09:48:50Z,231,20,2026-08-20T09:23:36Z,Python,984,1021
Leonxlnx/taste-skill,78620,2026-02-19T21:44:05Z,8,0,2026-08-17T22:57:24Z,JavaScript,12,41
awesomedata/awesome-public-datasets,78279,2014-11-20T06:20:50Z,188,1,2026-08-04T19:54:53Z,,49,131
opendatalab/MinerU,78096,2024-02-29T08:52:34Z,1539,186,2026-08-19T10:42:08Z,Python,2286,2339
elastic/elasticsearch,77848,2010-02-08T13:20:56Z,95657,261,2026-08-20T23:38:41Z,Java,42360,47021
tensorflow/models,77647,2016-02-05T01:15:20Z,2345,51,2026-08-20T21:31:44Z,Python,6247,7322
dair-ai/Prompt-Engineering-Guide,77639,2022-12-16T16:04:50Z,342,0,2026-03-11T20:09:13Z,MDX,74,254
nomic-ai/gpt4all,77402,2023-03-27T18:49:32Z,938,38,2025-05-27T20:05:19Z,C++,1494,2224
FortAwesome/Font-Awesome,76851,2012-02-17T14:19:43Z,222,65,2026-07-15T18:15:53Z,JavaScript,19644,19934
rtk-ai/rtk,76828,2026-01-22T16:54:16Z,552,281,2026-08-20T11:24:10Z,Rust,449,1431
MisterBooo/LeetCodeAnimation,76696,2018-12-06T08:01:22Z,63,0,2026-06-12T13:49:06Z,Java,43,61
nestjs/nest,76410,2017-02-04T20:12:52Z,8699,158,2026-08-20T02:08:53Z,TypeScript,5854,5860
grafana/grafana,76332,2013-12-11T15:59:56Z,69562,640,2026-08-21T00:25:29Z,TypeScript,42198,44929
sdmg15/Best-websites-a-programmer-should-visit,76272,2017-03-05T20:25:17Z,430,0,2025-09-16T18:34:24Z,,105,185
redis/redis,76063,2009-03-21T22:32:25Z,4763,150,2026-08-20T14:45:16Z,C,4801,7059
tesseract-ocr/tesseract,76053,2014-08-12T18:04:59Z,1467,36,2026-08-17T06:09:36Z,C++,2329,2765
AppFlowy-IO/AppFlowy,75789,2021-06-16T12:56:48Z,3895,142,2026-08-11T13:01:19Z,Dart,3319,4215
ocornut/imgui,75758,2014-07-21T14:29:47Z,427,122,2026-08-19T11:39:50Z,C++,5872,6919
typicode/json-server,75680,2013-11-27T13:21:13Z,171,49,2026-03-23T19:40:00Z,JavaScript,576,1193
D4Vinci/Scrapling,75543,2024-10-13T20:29:53Z,106,52,2026-08-21T00:16:24Z,Python,147,149
openai/openai-cookbook,75413,2022-03-11T02:08:53Z,1087,0,2026-08-20T20:46:14Z,Jupyter Notebook,740,818
obsproject/obs-studio,75249,2013-10-01T02:40:31Z,5570,247,2026-08-20T23:22:01Z,C,4392,5191
PKUFlyingPig/cs-self-learning,75076,2021-10-20T13:43:42Z,319,5,2026-08-13T14:21:23Z,HTML,108,238
caddyserver/caddy,75057,2015-01-13T19:45:03Z,2393,136,2026-08-19T03:07:24Z,Go,4402,4602
shareAI-lab/learn-claude-code,74806,2025-06-29T15:34:15Z,82,0,2026-08-18T17:42:28Z,Python,165,202
python/cpython,74453,2017-02-10T19:23:51Z,62701,0,2026-08-20T19:53:54Z,Python,70718,77761
enaqx/awesome-react,74347,2014-08-06T05:31:44Z,799,0,2026-08-20T07:58:12Z,,122,127
apache/superset,74326,2015-07-21T18:55:34Z,19722,267,2026-08-20T23:37:35Z,Python,12456,12665
abi/screenshot-to-code,74289,2023-11-14T17:53:32Z,83,0,2026-08-14T17:20:50Z,Python,284,404
hiyouga/LlamaFactory,74258,2023-05-28T10:09:12Z,1020,36,2026-08-20T10:53:39Z,Python,7034,8029
unslothai/unsloth,74096,2023-11-29T16:50:09Z,3598,55,2026-08-21T00:17:40Z,Python,3283,4206
josephmisiti/awesome-machine-learning,74088,2014-07-15T19:11:19Z,929,0,2026-08-11T21:49:59Z,Python,117,118
Eugeny/tabby,74024,2016-12-23T09:06:10Z,1580,209,2026-08-18T04:03:25Z,TypeScript,3624,6327
datawhalechina/hello-agents,73953,2025-09-07T09:50:24Z,171,3,2026-08-18T06:51:35Z,Python,247,309
unionlabs/union,73852,2023-05-16T22:33:39Z,3128,113,2026-07-25T18:20:02Z,Rust,1714,1842
twitter/the-algorithm,73846,2023-03-27T14:57:57Z,2,0,2025-09-08T18:40:54Z,Scala,752,1082
thedaviddias/Front-End-Checklist,73588,2017-10-16T10:12:36Z,180,2,2026-08-14T05:59:25Z,MDX,152,155
vuejs/awesome-vue,73538,2015-10-20T00:16:14Z,3655,0,2026-07-24T10:16:04Z,,193,234
binhnguyennus/awesome-scalability,73427,2017-12-27T03:46:40Z,37,0,2026-01-04T03:51:47Z,,0,0
Panniantong/Agent-Reach,73394,2026-02-24T02:10:24Z,172,7,2026-08-12T03:39:49Z,Python,139,204
CompVis/stable-diffusion,73329,2022-08-10T14:36:44Z,5,0,2024-06-18T01:53:49Z,Jupyter Notebook,200,740
strapi/strapi,72982,2015-09-30T15:34:48Z,10382,541,2026-08-20T15:44:25Z,TypeScript,11952,12204
danielmiessler/SecLists,72958,2012-02-19T01:30:18Z,709,30,2026-08-20T10:36:04Z,PHP,319,327
ComposioHQ/awesome-claude-skills,72905,2025-10-17T07:15:01Z,38,0,2026-08-10T21:45:44Z,Python,11,143
microsoft/ai-agents-for-beginners,72891,2024-11-28T10:42:52Z,505,0,2026-08-18T11:47:04Z,Jupyter Notebook,124,125
fffaraz/awesome-cpp,72851,2014-07-17T08:51:11Z,885,0,2026-08-19T05:32:17Z,,360,593
NationalSecurityAgency/ghidra,72591,2019-03-01T03:27:48Z,586,55,2026-08-20T13:07:30Z,Java,4582,6127
juliangarnier/anime,72285,2016-03-13T21:37:45Z,87,37,2026-08-17T22:01:29Z,JavaScript,752,849
hakimel/reveal.js,72158,2011-06-07T18:54:22Z,415,51,2026-05-21T19:20:20Z,JavaScript,1710,2513
pallets/flask,72143,2010-04-06T11:11:59Z,1633,38,2026-08-16T18:35:35Z,Python,2762,2762
chrislgarry/Apollo-11,72137,2014-04-03T15:45:02Z,0,0,2026-07-15T02:29:53Z,Assembly,0,0
OpenBB-finance/OpenBB,72083,2020-12-20T10:46:38Z,4303,56,2026-07-30T17:33:42Z,Python,2274,2325
moby/moby,71986,2013-01-18T18:10:57Z,23052,308,2026-08-20T21:14:53Z,Go,20310,23591
daytonaio/daytona,71943,2024-02-06T08:21:20Z,2505,205,2026-07-24T07:12:07Z,,932,1244
protocolbuffers/protobuf,71748,2014-08-26T15:52:15Z,9766,219,2026-08-21T00:14:20Z,C++,6775,6899
toeverything/AFFiNE,71716,2022-07-31T18:45:21Z,9355,567,2026-08-21T00:15:29Z,TypeScript,3399,4004
nektos/act,71581,2019-01-02T19:53:43Z,1061,97,2026-08-09T22:50:11Z,Go,1082,1343
Asabeneh/30-Days-Of-Python,71492,2019-11-19T17:24:16Z,145,0,2026-08-20T19:58:48Z,Python,90,180
666ghj/MiroFish,71281,2025-11-26T04:23:02Z,27,3,2026-08-17T05:17:34Z,Python,338,399
binary-husky/gpt_academic,71217,2023-03-20T09:05:13Z,228,32,2026-01-25T12:33:10Z,Python,1486,1784
prakhar1989/awesome-courses,70551,2014-11-15T18:36:49Z,194,0,2023-05-04T12:49:34Z,,41,86
ansible/ansible,70409,2012-03-06T14:58:02Z,40061,252,2026-08-19T18:12:49Z,Python,32913,33439
swiftlang/swift,70264,2015-10-23T21:15:07Z,60723,70,2026-08-20T23:30:17Z,Swift,10504,18147
FoundationAgents/MetaGPT,69916,2023-06-30T09:04:55Z,673,22,2026-01-21T10:12:33Z,Python,957,974
expressjs/express,69382,2009-06-26T18:56:01Z,550,165,2026-08-01T09:58:10Z,JavaScript,3962,4067
ruvnet/ruflo,68493,2025-06-02T21:24:20Z,568,1000,2026-08-20T12:38:01Z,TypeScript,1064,1637
base/node,68428,2023-02-01T13:55:02Z,275,86,2026-07-22T19:00:12Z,Shell,370,379
code-yeongyu/oh-my-openagent,68176,2025-12-03T01:40:05Z,2664,238,2026-08-21T00:27:32Z,TypeScript,2091,2554
openinterpreter/openinterpreter,68085,2023-07-14T07:10:44Z,438,65,2026-08-20T03:35:38Z,Rust,1099,1101
chartjs/Chart.js,67650,2013-03-17T23:56:36Z,3018,117,2026-05-27T21:17:31Z,JavaScript,6819,7318
BurntSushi/ripgrep,67449,2016-03-11T02:02:33Z,571,75,2026-08-04T13:59:44Z,Rust,1702,1820
colbymchenry/codegraph,67397,2026-01-18T21:45:37Z,461,30,2026-08-20T17:53:49Z,C,489,648
labmlai/annotated_deep_learning_paper_implementations,67323,2020-08-25T02:29:34Z,104,0,2026-01-22T04:26:00Z,Python,115,143
gorhill/uBlock,67166,2015-04-01T17:51:11Z,0,288,2026-08-20T15:06:04Z,JavaScript,3433,3446
apache/echarts,67103,2013-04-03T03:18:59Z,1524,125,2026-08-04T09:07:09Z,TypeScript,18020,19384
headroomlabs-ai/headroom,67018,2026-01-07T19:58:51Z,1469,163,2026-08-21T00:25:08Z,Python,686,931
scikit-learn/scikit-learn,66987,2010-08-17T09:43:38Z,14719,50,2026-08-20T14:56:33Z,Python,10705,12246
bradtraversy/design-resources-for-developers,66709,2020-05-06T14:40:35Z,978,0,2026-05-24T10:07:48Z,,0,0
santifer/career-ops,66666,2026-04-04T18:21:18Z,1146,37,2026-08-20T21:41:30Z,JavaScript,879,1054
sindresorhus/awesome-nodejs,66580,2014-07-11T13:35:34Z,421,0,2026-05-03T08:24:10Z,,102,105
xtekky/gpt4free,66573,2023-03-29T17:00:43Z,911,504,2026-08-19T22:51:38Z,Python,2046,2048
cline/cline,66555,2024-07-06T07:28:10Z,4496,375,2026-08-21T00:25:51Z,TypeScript,3734,4393
leonardomso/33-js-concepts,66509,2018-09-04T13:27:04Z,269,0,2026-08-02T14:51:44Z,JavaScript,120,121
TheAlgorithms/Java,66166,2016-07-16T10:21:02Z,2392,0,2026-08-20T21:43:50Z,Java,1245,1249
facebook/docusaurus,66023,2017-06-20T16:13:53Z,5855,157,2026-08-20T16:23:01Z,TypeScript,3177,3469
webpack/webpack,65971,2012-03-10T10:08:14Z,6362,462,2026-08-20T19:34:07Z,JavaScript,10170,10228
microsoft/AI-For-Beginners,65910,2021-03-03T16:27:36Z,312,0,2026-07-21T11:11:48Z,Jupyter Notebook,185,197
prometheus/prometheus,65767,2012-11-24T11:14:12Z,8845,377,2026-08-20T15:33:17Z,Go,6037,6545
LadybirdBrowser/ladybird,65762,2024-05-30T09:18:10Z,8066,0,2026-08-21T00:17:03Z,C++,1459,1955
dani-garcia/vaultwarden,65714,2018-02-17T22:40:20Z,1167,85,2026-08-20T20:03:56Z,Rust,2737,2752
Fission-AI/OpenSpec,65698,2025-08-05T10:37:45Z,578,45,2026-08-21T00:16:55Z,TypeScript,501,601
kelseyhightower/nocode,65653,2018-02-06T23:54:00Z,1,1,2024-08-07T03:19:12Z,Dockerfile,737,4966
alacritty/alacritty,65437,2016-02-18T05:02:30Z,1937,108,2026-08-17T19:36:06Z,Rust,6016,6346
lydiahallie/javascript-questions,65317,2019-06-12T08:26:27Z,327,0,2024-08-04T16:08:40Z,,233,253
docling-project/docling,65306,2024-07-09T07:50:26Z,1140,207,2026-08-20T15:03:32Z,Python,1074,1971
kdn251/interviews,65221,2017-02-14T18:19:25Z,42,0,2025-05-12T12:56:04Z,Java,24,59
localstack/localstack,65148,2016-10-25T23:48:03Z,6814,106,2026-03-23T08:52:01Z,Python,6178,6178
Mintplex-Labs/anything-llm,64986,2023-06-04T02:29:14Z,1570,34,2026-08-20T22:13:43Z,JavaScript,3453,3746
shanraisshan/claude-code-best-practice,64801,2025-10-31T14:15:28Z,48,0,2026-08-20T06:38:39Z,HTML,48,52
gsd-build/get-shit-done,64667,2025-12-14T14:17:12Z,1202,78,2026-05-31T17:46:54Z,JavaScript,1890,1890
nocodb/nocodb,64603,2017-10-29T18:51:48Z,6485,199,2026-08-20T18:22:56Z,TypeScript,4357,4752
traefik/traefik,64521,2015-09-13T19:04:02Z,5527,553,2026-08-20T15:04:09Z,Go,6136,6830
warpdotdev/warp,64409,2021-07-08T18:48:08Z,2190,56,2026-08-21T00:19:06Z,Rust,7004,10824
tw93/Mole,64373,2025-09-23T06:38:40Z,335,61,2026-08-17T19:11:17Z,Shell,895,904
ryanoasis/nerd-fonts,64326,2014-12-05T04:31:17Z,610,39,2026-08-10T11:01:16Z,CSS,1143,1158
keras-team/keras,64241,2015-03-28T00:35:42Z,5213,93,2026-08-20T21:10:59Z,Python,12740,12877
scrapy/scrapy,63978,2010-02-22T02:01:14Z,2821,53,2026-08-20T22:03:51Z,Python,3039,3302
rust-lang/rustlings,63911,2015-09-15T02:25:18Z,952,46,2026-08-11T11:46:06Z,Rust,746,770
mem0ai/mem0,63706,2023-06-20T08:58:36Z,2519,381,2026-08-20T17:43:45Z,Python,1849,2103
ZhuLinsen/daily_stock_analysis,63500,2026-01-10T06:43:20Z,675,34,2026-08-20T17:06:56Z,Python,781,819
FFmpeg/FFmpeg,63478,2011-04-14T14:12:38Z,0,0,2026-08-20T12:53:05Z,C,0,0
commaai/openpilot,63459,2016-11-24T01:33:30Z,13303,63,2026-08-20T23:57:11Z,Python,3223,3302
tldr-pages/tldr,63442,2013-12-08T07:34:43Z,19516,6,2026-08-20T16:38:32Z,Markdown,1559,1791
asgeirtj/system_prompts_leaks,63259,2025-05-03T02:43:56Z,32,0,2026-08-20T09:14:20Z,JavaScript,41,62
NanmiCoder/MediaCrawler,63241,2023-06-09T12:14:34Z,142,0,2026-08-14T08:19:00Z,Python,466,626
socketio/socket.io,63191,2010-03-11T18:24:48Z,450,98,2026-07-24T14:44:59Z,TypeScript,3500,3664
virattt/ai-hedge-fund,62968,2024-11-29T16:30:01Z,53,11,2026-08-07T17:21:58Z,Python,227,279
resume/resume.github.com,62883,2011-02-06T13:39:55Z,84,0,2023-02-15T06:38:51Z,JavaScript,67,131
jgraph/drawio-desktop,62708,2017-05-25T20:58:42Z,43,187,2026-08-20T23:35:48Z,JavaScript,1798,1805
git/git,62687,2008-07-23T14:21:26Z,4,0,2026-08-20T22:20:31Z,C,0,0
pathwaycom/pathway,62412,2022-11-27T13:01:14Z,30,89,2026-08-20T05:39:18Z,Python,142,171
usememos/memos,62392,2021-12-08T15:30:18Z,2081,96,2026-08-20T15:37:04Z,Go,3019,3043
topjohnwu/Magisk,62316,2016-09-08T12:42:53Z,1724,156,2026-08-20T21:36:51Z,Kotlin,6574,6612
karpathy/nanoGPT,62256,2022-12-28T00:51:12Z,45,0,2025-11-12T19:52:34Z,Python,115,363
youngyangyang04/leetcode-master,62228,2019-12-14T12:05:42Z,2311,0,2026-08-03T02:57:08Z,Shell,68,281
withastro/astro,61898,2021-03-15T17:19:47Z,9244,1000,2026-08-20T22:53:39Z,TypeScript,6534,6557
PlexPt/awesome-chatgpt-prompts-zh,61708,2022-12-12T01:55:03Z,33,0,2026-04-28T10:52:14Z,,62,102
sansan0/TrendRadar,61630,2025-04-28T11:42:16Z,2,0,2026-07-17T13:54:28Z,Python,460,496
reduxjs/redux,61509,2015-05-29T23:53:15Z,1767,78,2026-08-20T02:41:39Z,TypeScript,2038,2077
FuelLabs/sway,61495,2021-01-19T20:54:33Z,3715,189,2026-08-14T14:48:39Z,Rust,2437,3317
minio/minio,61384,2015-01-14T19:23:58Z,9882,521,2026-04-24T17:54:39Z,Go,7841,7885
2dust/v2rayNG,61371,2019-05-15T02:15:31Z,670,308,2026-08-20T09:26:44Z,Kotlin,4061,4072
lodash/lodash,61289,2012-04-07T04:11:46Z,644,4,2026-07-03T19:48:01Z,JavaScript,4308,4362
RVC-Boss/GPT-SoVITS,61089,2024-01-14T18:05:21Z,367,4,2026-08-18T09:16:25Z,Python,1255,2045
pbakaus/impeccable,61079,2025-11-16T01:52:04Z,270,45,2026-08-20T18:38:41Z,JavaScript,188,238
upstash/context7,61027,2025-03-26T23:40:39Z,483,105,2026-08-20T10:12:45Z,TypeScript,2227,2247
Solido/awesome-flutter,60967,2017-05-07T11:45:27Z,452,0,2026-04-21T19:06:09Z,Dart,0,0
ChrisTitusTech/winutil,60936,2022-04-28T02:25:19Z,1471,46,2026-08-19T22:25:17Z,PowerShell,2365,2378
tw93/Pake,60932,2022-10-14T09:32:57Z,162,51,2026-08-15T14:51:04Z,Rust,568,568
1c7/chinese-independent-developer,60881,2017-09-21T11:08:23Z,744,0,2026-08-20T06:14:32Z,Python,361,362
h5bp/Front-end-Developer-Interview-Questions,60873,2012-02-09T23:34:10Z,485,0,2026-06-16T23:06:47Z,Nunjucks,143,185
xingshaocheng/architect-awesome,60840,2018-04-06T13:30:58Z,49,0,2024-04-11T11:32:12Z,,23,71
coollabsio/coolify,60821,2021-01-25T20:54:01Z,2799,692,2026-08-20T20:29:31Z,PHP,3447,3981
ultralytics/ultralytics,60807,2022-09-11T16:39:45Z,5465,452,2026-08-20T23:49:24Z,Python,12851,12894
atom/atom,60779,2012-01-20T18:18:21Z,3937,538,2023-01-03T10:49:48Z,JavaScript,16149,17111
nuxt/nuxt,60769,2016-10-26T11:18:47Z,8314,291,2026-08-20T15:20:28Z,TypeScript,17120,17485
pocketbase/pocketbase,60745,2022-07-05T06:06:21Z,55,284,2026-08-19T18:43:11Z,Go,2020,2039
microsoft/autogen,60545,2023-08-18T11:43:45Z,2537,98,2026-04-15T11:59:09Z,Python,2519,3077
pi-hole/pi-hole,60511,2014-06-08T15:02:55Z,2237,126,2026-08-04T11:14:35Z,Shell,3125,3147
marktext/marktext,60363,2017-11-12T16:05:25Z,1371,47,2026-07-27T03:16:54Z,TypeScript,2828,3452
adam-p/markdown-here,60249,2012-05-13T03:27:22Z,27,17,2025-08-22T00:21:50Z,JavaScript,334,635
sharkdp/bat,60231,2018-04-21T10:52:23Z,1665,43,2026-08-11T14:39:20Z,Rust,1303,1629
byoungd/up,60215,2017-05-30T07:18:52Z,31,0,2026-08-17T05:04:19Z,JavaScript,102,132
spring-projects/spring-framework,60204,2010-12-08T04:04:45Z,945,365,2026-08-20T16:32:49Z,Java,27990,28353
CorentinJ/Real-Time-Voice-Cloning,60093,2019-05-26T08:56:15Z,51,0,2026-03-09T10:31:58Z,Python,953,1122
ghostty-org/ghostty,59974,2022-03-29T17:38:26Z,4501,1,2026-08-20T23:31:17Z,Zig,2116,2256
jquery/jquery,59774,2009-04-03T15:20:14Z,903,13,2026-08-20T15:09:49Z,JavaScript,2320,2393
shadowsocks/shadowsocks-windows,59570,2013-01-14T07:54:16Z,290,55,2025-01-01T08:09:55Z,C#,2729,2918
meta-llama/llama,59568,2023-02-14T09:29:12Z,54,0,2025-01-26T21:42:26Z,Python,654,1127
termux/termux-app,59503,2015-10-23T09:42:46Z,178,95,2026-07-14T20:47:14Z,Java,2654,3152
starship/starship,59499,2019-04-02T03:23:12Z,3204,141,2026-08-17T16:16:09Z,Rust,1909,2711
FiloSottile/mkcert,59472,2018-06-25T05:33:03Z,53,14,2024-08-13T13:37:46Z,Go,242,359
rclone/rclone,59282,2014-03-16T16:19:57Z,2490,131,2026-08-20T14:50:58Z,Go,5198,6177
meilisearch/meilisearch,59033,2018-04-23T11:45:28Z,2532,330,2026-08-14T09:38:01Z,Rust,2231,2474
pathwaycom/llm-app,59023,2023-07-19T08:43:37Z,50,0,2026-07-05T17:59:07Z,Jupyter Notebook,15,20
penpot/penpot,58946,2015-12-29T22:09:07Z,6936,85,2026-08-20T22:35:23Z,Clojure,2477,3146
rust-unofficial/awesome-rust,58910,2014-07-17T10:45:10Z,1920,0,2026-08-20T08:15:22Z,Rust,143,150
mvanhorn/last30days-skill,58813,2026-01-23T20:37:37Z,471,41,2026-08-20T07:31:53Z,Python,158,244
rails/rails,58699,2008-04-11T02:19:47Z,26870,168,2026-08-20T20:33:05Z,Ruby,18167,18657
tiimgreen/github-cheat-sheet,58638,2014-04-12T16:38:42Z,129,0,2024-04-15T20:15:56Z,,49,77
pmndrs/zustand,58589,2019-04-09T09:10:06Z,929,105,2026-08-19T13:05:32Z,TypeScript,695,697
angular/angular.js,58535,2010-01-06T00:34:37Z,790,0,2024-04-12T17:43:16Z,JavaScript,8644,9033
MemPalace/mempalace,58506,2026-04-05T01:12:07Z,631,15,2026-08-20T16:56:35Z,Python,465,791
FoundationAgents/OpenManus,58029,2025-03-06T14:08:14Z,116,3,2026-08-16T10:36:18Z,Python,473,754
ultralytics/yolov5,57909,2020-05-18T03:45:11Z,2321,10,2026-08-20T22:29:40Z,Python,9413,9443
h5bp/html5-boilerplate,57599,2010-01-24T18:03:24Z,846,34,2026-08-20T23:26:16Z,JavaScript,1359,1366
scutan90/DeepLearning-500-questions,57543,2018-06-27T06:36:45Z,302,0,2024-06-26T12:10:14Z,JavaScript,81,192
go-gitea/gitea,57524,2016-11-01T02:13:26Z,19748,235,2026-08-20T23:06:45Z,Go,13617,15966
deepfakes/faceswap,57468,2017-12-19T09:44:13Z,370,5,2026-08-05T11:39:37Z,Python,899,909
zylon-ai/private-gpt,57448,2023-05-02T09:15:31Z,310,14,2026-08-20T14:21:26Z,Python,1240,1241
crewAIInc/crewAI,57395,2023-10-27T03:26:59Z,2130,231,2026-08-20T23:41:30Z,Python,2011,2126
karpathy/nanochat,57357,2025-10-13T13:46:35Z,84,0,2026-08-02T21:05:23Z,Python,117,139
wasabeef/awesome-android-ui,57260,2014-12-24T01:45:03Z,91,0,2026-06-05T05:39:52Z,,95,117
Textualize/rich,57100,2019-11-10T15:28:09Z,869,177,2026-06-23T03:10:19Z,Python,1289,1526
appwrite/appwrite,57064,2019-04-08T16:36:25Z,5264,132,2026-08-20T17:13:11Z,TypeScript,3950,4471
remotion-dev/remotion,56925,2020-06-23T19:49:10Z,6153,673,2026-08-20T17:41:50Z,TypeScript,3540,3716
FuelLabs/fuel-core,56898,2020-08-27T21:12:14Z,1657,130,2026-08-20T21:56:36Z,Rust,999,1161
soimort/you-get,56873,2012-08-20T15:53:36Z,582,123,2026-07-25T08:02:33Z,Python,0,0
BerriAI/litellm,56864,2023-07-27T00:09:52Z,14638,1000,2026-08-21T00:27:34Z,Python,10556,12232
ageitgey/face_recognition,56672,2017-03-03T21:52:39Z,95,2,2026-06-25T11:12:50Z,Python,604,1379
